OTU ID	NONJ024240115	AMXJ034240115	NONN035240123	NONN036240208	NONN023240115	NONN017240115	NONN036240115	NONJ030240115	ANXN003240115	NONN015240208	NONN015240115	NONN041240115	AMXJ005240208	AMXN031240115	AMXJ004240208	NONN035240208	AMXJ005240115	AMXN032240115	AMXJ021240115	AMXN037240208	AMXN027240115	ANXN003240208	AMXJ034240208	AMXN029240115	NONN001240208	AMXN037240115	NONJ030240208	NONN017240208	AMXJ008240208	NONN035240115	NONJ024240208	AMXJ025240208	NONJ013240115	NONJ033240115	NONN010240115	AMXJ008240115	NONJ013240208	NONN001240115	NONN010240208	AMXN027240208	AMXJ004240115	AMXJ011240115	AMXN029240123	NONN023240208	AMXJ026240115	AMXN009240115	AMXJ021240208	AMXJ039240115	AMXJ039240208
469fe77d05259fbc97ba38d9f6b87fa1	14910.0	1693.0	13101.0	7387.0	116.0	1000.0	14.0	107.0	116.0	161.0	2161.0	0.0	11425.0	166.0	43.0	1524.0	8732.0	11609.0	19.0	16491.0	1083.0	11770.0	12836.0	1156.0	2620.0	72.0	175.0	88.0	4828.0	6.0	0.0	13321.0	6.0	0.0	3.0	15.0	9.0	91.0	0.0	8730.0	1007.0	416.0	14223.0	5.0	8998.0	165.0	457.0	898.0	1041.0
edc5dcc018bfee91b0296a6a0580232b	5422.0	1458.0	5206.0	2934.0	7.0	626.0	13.0	16.0	216.0	68.0	277.0	3.0	6047.0	138.0	17.0	653.0	4293.0	6343.0	11.0	7662.0	750.0	5694.0	9348.0	236.0	900.0	109.0	47.0	3.0	1844.0	0.0	0.0	7142.0	55.0	0.0	10.0	11.0	7.0	32.0	0.0	4262.0	549.0	288.0	7650.0	6.0	5295.0	139.0	107.0	311.0	588.0
e8fe45a7a5ba6655110894d26023de93	428.0	90.0	808.0	23.0	179.0	2228.0	15.0	17.0	2.0	32.0	61.0	0.0	686.0	318.0	8.0	26.0	1200.0	1523.0	26.0	2139.0	341.0	215.0	212.0	90.0	2847.0	0.0	146.0	77.0	985.0	332.0	2.0	957.0	18.0	0.0	0.0	2.0	0.0	142.0	2.0	543.0	589.0	175.0	541.0	0.0	581.0	61.0	144.0	122.0	152.0
db9836b9743cd2375d04794b30b74d27	310.0	98.0	5138.0	253.0	35.0	245.0	3.0	59.0	50.0	196.0	45.0	0.0	291.0	98.0	30.0	27.0	46.0	932.0	10.0	1535.0	152.0	3682.0	723.0	39.0	188.0	26.0	52.0	0.0	1199.0	44.0	3.0	186.0	71.0	0.0	0.0	2.0	0.0	0.0	0.0	126.0	364.0	269.0	1166.0	2.0	446.0	244.0	81.0	613.0	278.0
def1ee27f79326c461010d6a9f06c969	147.0	125.0	1140.0	91.0	48.0	3106.0	19.0	22.0	281.0	49.0	33.0	0.0	1155.0	227.0	8.0	36.0	957.0	1554.0	5.0	1439.0	279.0	617.0	220.0	95.0	1035.0	16.0	145.0	0.0	885.0	254.0	3.0	316.0	83.0	3.0	7.0	6.0	4.0	10.0	4.0	163.0	431.0	118.0	936.0	0.0	123.0	67.0	287.0	234.0	242.0
ac5c4cdb9657fc9ebfb0c059fcb83317	99.0	341.0	924.0	241.0	41.0	586.0	11.0	0.0	118.0	144.0	231.0	0.0	375.0	2517.0	10.0	94.0	627.0	467.0	120.0	2107.0	85.0	438.0	288.0	79.0	260.0	77.0	85.0	0.0	7297.0	68.0	1.0	216.0	85.0	0.0	0.0	0.0	0.0	193.0	34.0	89.0	4493.0	4235.0	706.0	0.0	922.0	549.0	18.0	2274.0	129.0
a73f97b94d85b164d70e228b442fd480	78.0	173.0	553.0	284.0	53.0	1005.0	3.0	20.0	95.0	42.0	355.0	0.0	227.0	2605.0	15.0	122.0	325.0	646.0	89.0	1778.0	159.0	657.0	328.0	297.0	296.0	117.0	31.0	2.0	5351.0	144.0	4.0	327.0	17.0	18.0	8.0	81.0	5.0	76.0	52.0	119.0	4317.0	3185.0	622.0	0.0	1265.0	544.0	29.0	2361.0	121.0
7c17538cd8f00d5cde79cec98c0ff72e	63.0	2221.0	179.0	1084.0	273.0	66.0	2.0	33.0	954.0	80.0	23.0	0.0	138.0	26.0	20.0	92.0	901.0	103.0	40.0	953.0	304.0	328.0	118.0	203.0	209.0	52.0	27.0	0.0	295.0	9.0	2.0	38.0	58.0	0.0	3.0	0.0	0.0	25.0	0.0	223.0	194.0	43.0	343.0	0.0	37.0	159.0	111.0	149.0	228.0
288c16f94110a42638c85b005d46d93d	49.0	4.0	121.0	356.0	0.0	152.0	0.0	0.0	0.0	46.0	138.0	0.0	50.0	4.0	3.0	82.0	4.0	114.0	0.0	217.0	0.0	261.0	462.0	197.0	13.0	0.0	7.0	0.0	3108.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	771.0	0.0	566.0	0.0	674.0	6.0	0.0	31.0	27.0
576c3499fa4ae30cf5a79c7fecc1a9a5	46.0	173.0	400.0	118.0	1.0	971.0	3.0	10.0	20.0	135.0	95.0	0.0	105.0	1417.0	41.0	85.0	102.0	350.0	31.0	1441.0	90.0	171.0	62.0	67.0	245.0	71.0	38.0	2.0	3298.0	0.0	0.0	107.0	38.0	0.0	0.0	0.0	0.0	286.0	35.0	40.0	896.0	1040.0	245.0	0.0	941.0	603.0	18.0	2475.0	128.0
c893988d813c6cb2450c008c8af310cc	37.0	13.0	367.0	42.0	11.0	109.0	2.0	18.0	133.0	104.0	94.0	0.0	109.0	122.0	0.0	12.0	82.0	75.0	23.0	72.0	61.0	152.0	93.0	0.0	53.0	21.0	0.0	0.0	1069.0	213.0	14.0	79.0	120.0	2.0	0.0	0.0	19.0	0.0	2.0	41.0	881.0	102.0	205.0	0.0	41.0	82.0	13.0	187.0	23.0
d0653ee1a7fff45cc4eb7886d099564b	36.0	5.0	335.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	3.0	0.0	24.0	174.0	0.0	429.0	24.0	147.0	167.0	78.0	150.0	0.0	1.0	0.0	82.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	230.0	0.0	155.0	0.0	6.0	0.0	23.0
d7159a8ff4f815a41bd70c4410629902	34.0	36.0	143.0	8.0	0.0	14.0	0.0	8.0	5.0	0.0	7.0	0.0	88.0	63.0	0.0	0.0	12.0	252.0	0.0	279.0	0.0	208.0	165.0	16.0	65.0	0.0	0.0	0.0	30.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	97.0	42.0	97.0	118.0	0.0	49.0	0.0	0.0	15.0	15.0
3c94fea779f01a63e1445657ed4906f2	33.0	222.0	66.0	44.0	10.0	7.0	0.0	0.0	34.0	7.0	8.0	0.0	13.0	8.0	0.0	3.0	0.0	110.0	0.0	77.0	57.0	453.0	180.0	5.0	0.0	0.0	0.0	0.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	99.0	8.0	103.0	0.0	44.0	5.0	52.0	4.0	78.0
6fad41d972e1dcbc82efa6eb5ada8abf	31.0	5.0	25.0	15.0	1086.0	358.0	40.0	183.0	48.0	67.0	118.0	13.0	42.0	905.0	153.0	6.0	9.0	21.0	20.0	13.0	50.0	17.0	23.0	0.0	674.0	65.0	404.0	9.0	137.0	4468.0	1003.0	25.0	26.0	454.0	721.0	2310.0	896.0	92.0	8.0	5.0	131.0	147.0	60.0	2984.0	69.0	217.0	100.0	277.0	5.0
24206cde01e075a0890e833e59fd7216	21.0	13.0	43.0	7.0	779.0	45.0	0.0	4.0	18.0	75.0	36.0	0.0	28.0	69.0	2.0	0.0	10.0	13.0	11.0	35.0	20.0	13.0	23.0	4.0	66.0	21.0	0.0	0.0	264.0	36.0	64.0	23.0	3.0	8.0	7.0	25.0	35.0	8.0	0.0	7.0	401.0	37.0	37.0	0.0	61.0	122.0	20.0	80.0	6.0
0483d85d002676a96800af327385003d	16.0	17.0	9.0	32.0	33.0	466.0	0.0	4.0	0.0	11.0	20.0	42.0	42.0	58.0	5.0	36.0	4.0	59.0	0.0	43.0	3.0	31.0	53.0	102.0	186.0	0.0	13.0	0.0	82.0	0.0	71.0	56.0	17.0	25.0	29.0	24.0	982.0	12.0	2.0	12.0	122.0	226.0	40.0	63.0	62.0	49.0	0.0	212.0	10.0
16176e70c86976660b3681b953b1f834	16.0	4.0	56.0	87.0	2.0	68.0	0.0	0.0	0.0	0.0	49.0	0.0	202.0	175.0	2.0	18.0	2.0	22.0	0.0	21.0	0.0	165.0	236.0	8.0	179.0	12.0	0.0	0.0	122.0	0.0	0.0	43.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	73.0	324.0	222.0	0.0	81.0	49.0	0.0	90.0	3.0
e31b5affbe5e23b79a8619589f3b6620	11.0	138.0	0.0	489.0	801.0	216.0	288.0	390.0	1653.0	120.0	86.0	0.0	0.0	89.0	498.0	2205.0	2.0	3.0	3034.0	0.0	12.0	0.0	11.0	2851.0	500.0	447.0	1189.0	3348.0	2.0	933.0	0.0	8.0	2470.0	2.0	4.0	3.0	3.0	2544.0	178.0	0.0	11.0	37.0	2.0	0.0	39.0	428.0	1035.0	661.0	12.0
4ee6ca8d3d20a63118d3284d6cd5bd5f	10.0	119.0	426.0	90.0	13.0	4.0	0.0	18.0	181.0	6.0	12.0	15.0	173.0	177.0	3.0	0.0	116.0	125.0	0.0	346.0	49.0	400.0	144.0	38.0	31.0	35.0	5.0	0.0	189.0	0.0	11.0	20.0	0.0	5.0	0.0	26.0	27.0	0.0	0.0	87.0	687.0	272.0	118.0	0.0	14.0	44.0	25.0	107.0	60.0
