AMXJ022240123	AMXN031240123	NONJ016240105	NONN015240123	AMXJ002240208	NONN017240123	AMXJ022240115	AMXJ025240105	NONN001240105	AMXN018240115	AMXJ039240123	NONN035240105	AMXJ021240123	AMXN029240105	AMXJ034240105	AMXN009240105	NONN007240123	NONN007240105	NONN015240105	AMXJ034240123	AMXN019240208	AMXJ011240105	NONN035240123	AMXN037240123	NONN041240208	unr034240123	NONN023240123	AMXJ008240115	AMXN018240208	NONJ030240123	unr138240123	AMXJ002240105	NONJ006240123	NONJ013240123	AMXJ005240123	NONN041240115	NONN038240208	NONN036240105	ANXN003240105	NONN014240115	AMXJ022240208	AMXJ022240105	NONN036240123	NONN028240208	NONN012240115	AMXN018240123	AMXJ025240123	AMXJ002240115	AMXJ005240105	AMXJ004240105	NONN017240208	AMXN009240123	AMXN027240105	AMXN009240208	NONN001240208	AMXJ026240105	AMXJ021240105	AMXN018240105	NONJ024240123	ANXN003240123	NONJ006240115	AMXJ020240123	NONN001240123	unr103240105	NONJ030240105	NONN012240208	NONN028240123	NONN023240105	unr034240105	unr103240123	AMXJ011240208	AMXN032240123	AMXN019240115	AMXN029240208	NONJ016240115	AMXJ004240123	NONN014240123	NONN012240105	AMXJ020240208	AMXN019240123	NONN010240123	NONN028240105	AMXJ034240208	AMXJ026240208	AMXJ008240105	NONN041240123	AMXJ039240105	NONJ033240208	NONN012240123	AMXN031240208	AMXJ008240123	AMXJ011240123	NONJ013240105	NONN038240115	NONJ01624010	AMXN031240105	AMXJ025240115	NONJ030240115	AMXJ002240123	NONN007240208	NONJ033240123	NONJ024240105	NONN041240105	NONN014240105	AMXJ026240123	AMXN037240208	AMXJ020240105	AMXJ039240115	NONN017240105	NONN038240105	AMXN019240105	unr138240105	NONN001240115	NONN038240123	NONN007240115	NONJ006240208	AMXN027240123	NONN014240208	AMXN037240105	AMXN032240105	NONN028240115	NONJ006240105	AMXN029240123	NONN010240105	NONJ01624010A	AMXJ020240115	NONJ033240105	AMXN032240208	NONJ024240115	AMXJ034240115	NONN036240208	NONN023240115	NONN017240115	NONN036240115	ANXN003240115	NONN015240208	NONN015240115	AMXJ005240208	AMXN031240115	AMXJ004240208	NONN035240208	AMXJ005240115	AMXN032240115	AMXJ021240115	AMXN027240115	ANXN003240208	AMXN029240115	AMXN037240115	NONJ030240208	AMXJ008240208	NONN035240115	NONJ024240208	AMXJ025240208	NONJ013240115	NONJ033240115	NONN010240115	NONJ013240208	NONN010240208	AMXN027240208	AMXJ004240115	AMXJ011240115	NONN023240208	AMXJ026240115	AMXN009240115	AMXJ021240208	AMXJ039240208
469fe77d05259fbc97ba38d9f6b87fa1	5524	1046	91	1112	11425	1403	8732	791	51	14223	17742	260	47	213	2244	165	6	7957	96	1060	11770	1693	13101	7504	10	7480	6261	15	11609	1000	1017	198	14910	175	8998	0	0	172	1956	4045	7532	7083	240	7900	0	166	11762	1007	19	43	88	1083	5644	8730	2620	15	547	1156	2161	1758	9	1041	92	1849	161	4	1332	84	2647	2490	4828	1216	16491	1	3	416	180	7387	5	116	14	8426	12836	2	457	44	2131	5	109	13586	13321	12836	107	5	0	4814	4056	107	1302	13101	116	0	188	139	198	16494	898	1012	1257	5050	72	2598	97	75	3359	0	129	20130	201	236	3380	6	14223	1524	2620	15	88	5074	14910	1693	7387	116	1000	14	116	161	2161	11425	166	43	1524	8732	11609	19	1083	11770	1156	72	175	4828	6	0	13321	6	0	3	9	0	8730	1007	416	5	8998	165	457	1041
e8fe45a7a5ba6655110894d26023de93	4944	600	142	539	686	1085	1200	1305	5	541	311	27	57	4	941	61	332	25	20	151	215	90	808	302	2	373	363	2	1523	2228	295	2	428	146	581	0	5	22	36	258	637	108	275	754	0	318	2370	589	26	8	77	341	41	543	2847	0	97	90	61	1086	0	152	35	296	32	4	756	0	413	471	985	871	2139	0	0	175	214	23	11	2	15	92	212	4	144	127	219	0	342	312	957	212	17	0	0	920	1261	17	1065	808	179	2	0	29	66	2139	122	151	124	175	0	696	142	1511	1692	2	703	1379	23	52	4894	18	541	26	2847	2	77	1758	428	90	23	179	2228	15	2	32	61	686	318	8	26	1200	1523	26	341	215	90	0	146	985	332	2	957	18	0	0	0	2	543	589	175	0	581	61	144	152
edc5dcc018bfee91b0296a6a0580232b	2936	846	32	597	6047	704	4293	392	46	7650	10478	142	28	126	1051	139	0	3962	45	915	5694	1458	5208	3847	8	4623	2105	11	6343	626	588	51	5422	47	5295	3	0	180	607	2062	2755	1833	6	3920	3	138	6970	549	11	17	3	750	2517	4262	900	4	249	236	277	1389	7	588	48	887	68	3	655	39	631	1569	1844	735	7662	4	10	288	11	2934	5	216	13	3288	9348	13	107	31	678	6	30	6486	7142	9348	16	0	0	1736	1224	16	534	5206	7	0	79	18	95	7665	311	383	508	2079	109	971	39	61	1582	0	100	9536	96	203	1414	55	7650	653	900	11	3	2929	5422	1458	2934	7	626	13	216	68	277	6047	138	17	653	4293	6343	11	750	5694	236	109	47	1844	0	0	7142	55	0	10	7	0	4262	549	288	6	5295	139	107	588
def1ee27f79326c461010d6a9f06c969	2012	192	10	118	1155	618	957	239	21	936	151	77	39	19	521	67	254	45	44	82	617	125	1140	543	2	243	538	6	1554	3106	531	153	147	145	123	0	3	38	89	149	1200	159	444	997	0	227	1866	431	5	8	0	279	91	163	1035	38	252	95	33	341	4	242	32	30	49	2	270	23	1336	393	885	359	1439	2	7	118	95	91	9	281	19	258	220	2	287	91	900	0	138	157	316	220	22	4	3	552	1698	22	6158	1140	48	4	0	69	47	1439	234	243	63	150	16	1023	10	160	3850	3	183	340	72	71	3635	83	936	36	1035	6	0	1734	147	125	91	48	3106	19	281	49	33	1155	227	8	36	957	1554	5	279	617	95	16	145	885	254	3	316	83	3	7	4	4	163	431	118	0	123	67	287	242
576c3499fa4ae30cf5a79c7fecc1a9a5	449	2061	286	45	105	1165	102	124	12	245	208	1932	41	216	156	603	0	23	5	531	171	173	402	214	0	696	412	0	350	971	916	781	46	38	941	0	0	921	267	1115	130	449	0	167	0	1417	484	896	31	41	2	90	210	40	245	417	1159	67	95	1046	0	128	144	25	135	0	638	0	836	845	3298	118	1441	0	0	1040	72	118	22	20	3	913	62	0	18	34	407	0	158	107	107	62	10	1	0	73	325	10	14	400	1	35	0	1	3252	1441	2475	2482	17	558	71	1896	286	746	851	0	1397	152	2466	182	316	38	247	85	245	0	2	165	46	173	118	1	971	3	20	135	95	105	1417	41	85	102	350	31	90	171	67	71	38	3298	0	0	107	38	0	0	0	35	40	896	1040	0	941	603	18	128
ac5c4cdb9657fc9ebfb0c059fcb83317	403	3225	193	108	375	2246	627	64	41	706	887	1621	75	349	369	549	68	95	8	1805	438	341	924	193	0	2274	368	0	467	586	1798	455	99	85	922	0	0	843	276	1356	450	548	96	889	0	2517	1336	4493	120	10	0	85	888	89	260	188	493	79	231	728	0	129	76	23	144	0	1309	16	1060	695	7297	308	2107	0	0	4235	77	241	0	118	11	513	288	0	18	20	504	0	212	172	216	288	0	0	0	191	4	0	20	924	41	34	76	63	3485	2107	2274	2286	19	881	77	1118	193	982	1737	1	838	891	1248	104	1498	85	706	94	260	0	0	404	99	341	241	41	586	11	118	144	231	375	2517	10	94	627	467	120	85	438	79	77	85	7297	68	1	216	85	0	0	0	34	89	4493	4235	0	922	549	18	129
0483d85d002676a96800af327385003d	392	103	12	2	42	324	4	0	4	40	55	70	12	0	5	49	0	31	0	45	31	17	9	20	13	134	30	24	59	466	64	18	16	13	62	46	89	65	45	106	24	43	60	104	42	58	153	122	0	5	0	3	74	12	186	0	76	102	20	147	982	10	0	0	11	68	140	6	46	18	82	7	43	639	29	226	23	32	2	0	0	0	53	59	0	5	0	63	61	10	56	53	4	68	25	43	30	4	38	9	33	2	0	0	197	43	212	212	0	67	0	26	12	43	25	71	8	33	0	5	36	17	40	36	186	24	0	3	16	17	32	33	466	0	0	11	20	42	58	5	36	4	59	0	3	31	102	0	13	82	0	71	56	17	25	29	982	2	12	122	226	63	62	49	0	10
46b31462f3add047633011091b1cff5a	344	0	0	4	5	943	0	0	0	47	226	1	18	94	0	3	0	19	0	471	2	0	0	2	0	34	2	2	2	845	345	1	0	6	0	2	0	0	11	0	0	1	1	0	2	2	1296	9	0	0	0	0	123	0	12	1	7	0	2	185	0	0	0	2	0	0	21	0	1	32	6	2	3	2	3	0	6	8	3	0	3	9	2	0	2	3	40	0	1	0	12	2	0	0	0	18	0	0	22	0	1	0	0	0	2234	3	106	113	2	27	0	0	0	2	0	2	0	1	0	0	185	1	47	0	12	2	0	0	0	0	8	1	845	3	0	0	2	5	2	0	0	0	2	0	0	2	0	0	6	6	0	2	12	1	0	3	0	0	0	9	0	0	0	3	2	0
6fad41d972e1dcbc82efa6eb5ada8abf	329	243	92	24	42	97	9	6	36	60	47	211	778	0	48	217	4468	5	317	60	17	5	25	8	1055	28	9	2310	21	358	157	1240	31	404	69	25	349	1193	33	39	28	31	0	28	13	905	182	131	20	153	9	50	23	5	674	313	335	0	118	127	896	5	6	4	67	607	212	720	5	105	137	102	13	1739	721	147	5278	15	811	48	40	15	23	438	100	8	60	2984	1113	3	25	23	183	2676	454	37	672	183	138	25	1086	8	190	612	29	13	277	279	12	41	65	16	92	260	137	1003	3172	4	104	403	23	26	74	6	674	2310	9	13	31	5	15	1086	358	40	48	67	118	42	905	153	6	9	21	20	50	17	0	65	404	137	4468	1003	25	26	454	721	896	8	5	131	147	2984	69	217	100	5
db9836b9743cd2375d04794b30b74d27	312	793	0	125	291	511	46	104	69	1166	148	434	15	9	80	244	44	129	130	39	3682	98	5138	466	0	129	651	2	932	245	24	133	310	52	446	0	0	175	290	122	991	98	9	193	0	98	78	364	10	30	0	152	65	126	188	84	326	39	45	847	0	278	20	64	196	2	301	19	513	1272	1199	76	1535	3	0	269	34	253	0	50	3	202	723	0	81	59	147	2	59	391	186	723	59	0	0	241	497	59	16	5138	35	0	0	21	36	1535	613	613	37	893	26	622	0	20	178	3	112	357	194	166	187	71	1166	27	188	2	0	375	310	98	253	35	245	3	50	196	45	291	98	30	27	46	932	10	152	3682	39	26	52	1199	44	3	186	71	0	0	0	0	126	364	269	2	446	244	81	278
